HGNC ID,Approved symbol,Approved name,Status,Locus type,NCBI Gene ID(supplied by NCBI),OMIM ID(supplied by OMIM),,,,
HGNC:5,A1BG,alpha-1-B glycoprotein,Approved,gene with protein product,1,138670,,,,
HGNC:37133,A1BG-AS1,A1BG antisense RNA 1,Approved,RNA, long non-coding,503538,,,,
HGNC:24086,A1CF,APOBEC1 complementation factor,Approved,gene with protein product,29974,618199,,,,
HGNC:7,A2M,alpha-2-macroglobulin,Approved,gene with protein product,2,103950,,,,
HGNC:27057,A2M-AS1,A2M antisense RNA 1,Approved,RNA, long non-coding,144571,,,,
HGNC:23336,A2ML1,alpha-2-macroglobulin like 1,Approved,gene with protein product,144568,610627,,,,
HGNC:41022,A2ML1-AS1,A2ML1 antisense RNA 1,Approved,RNA, long non-coding,100874108,,,,
HGNC:41523,A2ML1-AS2,A2ML1 antisense RNA 2,Approved,RNA, long non-coding,106478979,,,,
HGNC:8,A2MP1,alpha-2-macroglobulin pseudogene 1,Approved,pseudogene,3,,,,,
HGNC:30005,A3GALT2,alpha 1,3-galactosyltransferase 2,Approved,gene with protein product,127550,619850,,,
HGNC:18149,A4GALT,alpha 1,4-galactosyltransferase (P blood group),Approved,gene with protein product,53947,607922,,,
HGNC:17968,A4GNT,alpha-1,4-N-acetylglucosaminyltransferase,Approved,gene with protein product,51146,616709,,,
HGNC:13666,AAAS,aladin WD repeat nucleoporin,Approved,gene with protein product,8086,605378,,,,
HGNC:21298,AACS,acetoacetyl-CoA synthetase,Approved,gene with protein product,65985,614364,,,,
HGNC:18226,AACSP1,acetoacetyl-CoA synthetase pseudogene 1,Approved,pseudogene,729522,,,,,
HGNC:17,AADAC,arylacetamide deacetylase,Approved,gene with protein product,13,600338,,,,
HGNC:24427,AADACL2,arylacetamide deacetylase like 2,Approved,gene with protein product,344752,,,,,
HGNC:50301,AADACL2-AS1,AADACL2 antisense RNA 1,Approved,RNA, long non-coding,101928142,,,,
HGNC:32037,AADACL3,arylacetamide deacetylase like 3,Approved,gene with protein product,126767,,,,,
HGNC:32038,AADACL4,arylacetamide deacetylase like 4,Approved,gene with protein product,343066,,,,,
HGNC:50305,AADACP1,arylacetamide deacetylase pseudogene 1,Approved,pseudogene,201651,,,,,
HGNC:17929,AADAT,aminoadipate aminotransferase,Approved,gene with protein product,51166,611754,,,,
HGNC:25662,AAGAB,alpha and gamma adaptin binding protein,Approved,gene with protein product,79719,614888,,,,
HGNC:19679,AAK1,AP2 associated kinase 1,Approved,gene with protein product,22848,616405,,,,
HGNC:30205,AAMDC,adipogenesis associated Mth938 domain containing,Approved,gene with protein product,28971,,,,,
HGNC:18,AAMP,angio associated migratory cell protein,Approved,gene with protein product,14,603488,,,,
HGNC:19,AANAT,aralkylamine N-acetyltransferase,Approved,gene with protein product,15,600950,,,,
HGNC:15886,AAR2,AAR2 splicing factor,Approved,gene with protein product,25980,617365,,,,
HGNC:33842,AARD,alanine and arginine rich domain containing protein,Approved,gene with protein product,441376,,,,,
HGNC:20,AARS1,alanyl-tRNA synthetase 1,Approved,gene with protein product,16,601065,,,,
HGNC:49894,AARS1P1,alanyl-tRNA synthetase 1 pseudogene 1,Approved,pseudogene,106480683,,,,,
HGNC:21022,AARS2,alanyl-tRNA synthetase 2, mitochondrial,Approved,gene with protein product,57505,612035,,,
HGNC:28417,AARSD1,alanyl-tRNA synthetase domain containing 1,Approved,gene with protein product,80755,613212,,,,
HGNC:54994,AARSD1P1,AARSD1 pseudogene 1,Approved,pseudogene,117981788,,,,,
HGNC:23993,AASDH,aminoadipate-semialdehyde dehydrogenase,Approved,gene with protein product,132949,614365,,,,
HGNC:14235,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,Approved,gene with protein product,60496,607756,,,,
HGNC:17366,AASS,aminoadipate-semialdehyde synthase,Approved,gene with protein product,10157,605113,,,,
HGNC:51526,AATBC,apoptosis associated transcript in bladder cancer,Approved,RNA, long non-coding,284837,,,,
HGNC:19235,AATF,apoptosis antagonizing transcription factor,Approved,gene with protein product,26574,608463,,,,
HGNC:21,AATK,apoptosis associated tyrosine kinase,Approved,gene with protein product,9625,605276,,,,
HGNC:22,AAVS1,adeno-associated virus integration site 1,Approved,virus integration site,17,102699,,,,
